Chr	Band
X	Xp22
X	Xp21
X	Xp11
X	Xp10
X	Xq10
X	Xq11
X	Xq12
X	Xq13
X	Xq21
X	Xq22
X	Xq23
X	Xq24
X	Xq25
X	Xq26
X	Xq27
X	Xq28
Y	Yp11
Y	Yp10
Y	Yq10
Y	Yq11
Y	Yq12
1	1p36
1	1p35
1	1p34
1	1p33
1	1p32
1	1p31
1	1p22
1	1p21
1	1p13
1	1p12
1	1p11
1	1p10
1	1q10
1	1q11
1	1q12
1	1q21
1	1q22
1	1q23
1	1q24
1	1q25
1	1q31
1	1q32
1	1q41
1	1q42
1	1q43
1	1q44
2	2p25
2	2p24
2	2p23
2	2p22
2	2p21
2	2p16
2	2p15
2	2p14
2	2p13
2	2p12
2	2p11
2	2p10
2	2q10
2	2q11
2	2q12
2	2q13
2	2q14
2	2q21
2	2q22
2	2q23
2	2q24
2	2q31
2	2q32
2	2q33
2	2q34
2	2q35
2	2q36
2	2q37
3	3p26
3	3p25
3	3p24
3	3p23
3	3p22
3	3p21
3	3p14
3	3p13
3	3p12
3	3p11
3	3p10
3	3q10
3	3q11
3	3q12
3	3q13
3	3q21
3	3q22
3	3q23
3	3q24
3	3q25
3	3q26
3	3q27
3	3q28
3	3q29
4	4p16
4	4p15
4	4p14
4	4p13
4	4p12
4	4p11
4	4p10
4	4q10
4	4q11
4	4q12
4	4q13
4	4q21
4	4q22
4	4q23
4	4q24
4	4q25
4	4q26
4	4q27
4	4q28
4	4q31
4	4q32
4	4q33
4	4q34
4	4q35
5	5p15
5	5p14
5	5p13
5	5p12
5	5p11
5	5p10
5	5q10
5	5q11
5	5q12
5	5q13
5	5q14
5	5q15
5	5q21
5	5q22
5	5q23
5	5q31
5	5q32
5	5q33
5	5q34
5	5q35
6	6p25
6	6p24
6	6p23
6	6p22
6	6p21
6	6p12
6	6p11
6	6p10
6	6q10
6	6q11
6	6q12
6	6q13
6	6q14
6	6q15
6	6q16
6	6q21
6	6q22
6	6q23
6	6q24
6	6q25
6	6q26
6	6q27
7	7p22
7	7p21
7	7p15
7	7p14
7	7p13
7	7p12
7	7p11
7	7p10
7	7q10
7	7q11
7	7q21
7	7q22
7	7q31
7	7q32
7	7q33
7	7q34
7	7q35
7	7q36
8	8p23
8	8p22
8	8p21
8	8p12
8	8p11
8	8p10
8	8q10
8	8q11
8	8q12
8	8q13
8	8q21
8	8q22
8	8q23
8	8q24
9	9p24
9	9p23
9	9p22
9	9p21
9	9p13
9	9p12
9	9p11
9	9p10
9	9q10
9	9q11
9	9q12
9	9q13
9	9q21
9	9q22
9	9q31
9	9q32
9	9q33
9	9q34
10	10p15
10	10p14
10	10p13
10	10p12
10	10p11
10	10p10
10	10q10
10	10q11
10	10q21
10	10q22
10	10q23
10	10q24
10	10q25
10	10q26
11	11p15
11	11p14
11	11p13
11	11p12
11	11p11
11	11p10
11	11q10
11	11q11
11	11q12
11	11q13
11	11q14
11	11q21
11	11q22
11	11q23
11	11q24
11	11q25
12	12p13
12	12p12
12	12p11
12	12p10
12	12q10
12	12q11
12	12q12
12	12q13
12	12q14
12	12q15
12	12q21
12	12q22
12	12q23
12	12q24
13	13p13
13	13p12
13	13p11
13	13p10
13	13q10
13	13q11
13	13q12
13	13q13
13	13q14
13	13q21
13	13q22
13	13q31
13	13q32
13	13q33
13	13q34
14	14p13
14	14p12
14	14p11
14	14p10
14	14q10
14	14q11
14	14q12
14	14q13
14	14q21
14	14q22
14	14q23
14	14q24
14	14q31
14	14q32
15	15p13
15	15p12
15	15p11
15	15p10
15	15q10
15	15q11
15	15q12
15	15q13
15	15q14
15	15q15
15	15q21
15	15q22
15	15q23
15	15q24
15	15q25
15	15q26
16	16p13
16	16p12
16	16p11
16	16p10
16	16q10
16	16q11
16	16q12
16	16q13
16	16q21
16	16q22
16	16q23
16	16q24
17	17p13
17	17p12
17	17p11
17	17p10
17	17q10
17	17q11
17	17q12
17	17q21
17	17q22
17	17q23
17	17q24
17	17q25
18	18p11
18	18p10
18	18q10
18	18q11
18	18q12
18	18q21
18	18q22
18	18q23
19	19p13
19	19p12
19	19p11
19	19p10
19	19q10
19	19q11
19	19q12
19	19q13
20	20p13
20	20p12
20	20p11
20	20p10
20	20q10
20	20q11
20	20q12
20	20q13
21	21p13
21	21p12
21	21p11
21	21p10
21	21q10
21	21q11
21	21q21
21	21q22
22	22p13
22	22p12
22	22p11
22	22p10
22	22q10
22	22q11
22	22q12
22	22q13
